round_id,seats
0,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
1,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
2,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
3,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
4,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20050}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19800}]"
5,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20150}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19700}]"
6,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20200}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19650}]"
7,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20300}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19550}]"
8,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20200}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19650}]"
9,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20300}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19550}]"
10,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20200}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19650}]"
11,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20300}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19550}]"
12,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20200}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19650}]"
13,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20300}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19550}]"
14,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20350}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19500}]"
15,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20450}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19400}]"
16,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20500}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19350}]"
17,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20600}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19250}]"
18,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20500}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19350}]"
19,"[{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 20600}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19250}]"
round_id,seats
0,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
1,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19850}, {'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-2', 'stack': 20000}]"
2,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19750}, {'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-2', 'stack': 20100}]"
3,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19700}, {'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-2', 'stack': 20150}]"
4,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19600}, {'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-2', 'stack': 20250}]"
5,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19700}, {'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-2', 'stack': 20150}]"
