round_id,seats
0,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
1,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
2,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
3,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
4,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
5,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
6,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
7,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
8,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
9,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
10,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
11,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
12,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
13,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
14,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
15,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
16,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
17,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
18,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
19,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
round_id,seats
0,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
1,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
2,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
3,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
4,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
5,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
6,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
7,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
8,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
9,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
10,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
11,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
12,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
